,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=10_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=10_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=10_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=10_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z,ann=10_spec_z
ZTF21aahfjcp,ZTF21aahfjcp,ZTF21aaphxat,ZTFabc79053,ZTFabc22003,ZTFabc65035,ZTFabc82254,ZTFabc81680,ZTF21aaepasp,ZTFabc52763,ZTFabc92887,ZTF20actktut,0,4.8578,5.2401,5.3264,5.5095,5.5445,5.5666,5.6085,5.6359,5.6705,5.7133,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Yes_TNS,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abmxkxt,ZTF21abmxkxt,ZTFabc29939,ZTFabc99023,ZTFabc44525,ZTFabc46962,ZTFabc98306,ZTF20achtisx,ZTFabc72691,ZTFabc36578,ZTFabc26590,ZTFabc52480,0,4.4195,4.8233,4.8711,5.3234,5.548,5.7059,5.713,5.731,5.8107,5.8226,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaxswfv,ZTF21aaxswfv,ZTF21aaofwxe,ZTF21aahqejb,ZTF20acxyrkk,ZTF21abcyiwo,ZTF21aasfcra,ZTF21aaynopr,ZTF20acwkbjm,ZTF21aatlfaj,ZTFabc86457,ZTFabc67204,0,7.7937,7.8852,8.1278,8.2167,8.4787,8.7711,8.8537,8.8592,8.9844,8.9879,Yes_TNS,Yes_TNS_2plus,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,None,None,None,None,None,None,None,None,None,SN IIP,SN IIP,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18aahsuyl,ZTF18aahsuyl,ZTFabc46364,ZTFabc91356,ZTFabc72984,ZTFabc32350,ZTFabc78247,ZTFabc01470,ZTFabc18819,ZTFabc82890,ZTFabc30883,ZTFabc80792,0,5.9349,5.9426,5.9439,5.9462,5.9466,5.9594,5.9647,5.9833,6.0422,6.1119,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF19aadnvyd,ZTF19aadnvyd,ZTFabc92772,ZTFabc87264,ZTF20acxmxth,ZTFabc09326,ZTFabc75086,ZTFabc65666,ZTFabc85432,ZTF21aapjlyx,ZTFabc18239,ZTF18abufaej,0,6.3143,6.3639,6.6509,6.7036,6.7573,6.8365,6.8608,6.8792,6.8808,6.9728,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Yes_TNS,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN II,SN Ia,None,SN Ia,SN II,-99.0,-99.0,-99.0,0.04,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.062
ZTF18ablmduj,ZTF18ablmduj,ZTFabc90956,ZTFabc59909,ZTFabc93088,ZTFabc99223,ZTFabc68291,ZTFabc40740,ZTFabc88727,ZTFabc92530,ZTF20acwyicy,ZTFabc57276,0,4.0108,4.4908,4.4962,4.5471,4.5508,4.5563,4.557,4.622,4.6413,4.6547,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,SN Ia,SN Ia,SN Ia,SN II,SN II,SN II,SN II,SN II,SN II,None,SN Ia,0.079,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abjzkyi,ZTF21abjzkyi,ZTF21aamxbem,ZTF21abgecmw,ZTF21aamxdxt,ZTFabc59909,ZTFabc27168,ZTFabc29246,ZTF20acfnuee,ZTFabc45079,ZTFabc12713,ZTFabc35894,0,6.3193,6.3435,6.486,6.8015,6.8467,6.8523,6.8942,6.9138,6.9281,6.9363,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ibn,SN Ibn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.06,-99.0,-99.0,-99.0
ZTF21abvbjal,ZTF21abvbjal,ZTF21aaxsxui,ZTF21abjbswm,ZTFabc13485,ZTFabc47371,ZTFabc88937,ZTF20actkoic,ZTFabc13622,ZTFabc52177,ZTFabc95914,ZTFabc33355,0,4.5118,5.7052,5.8239,5.8716,5.9281,5.9464,6.0318,6.0432,6.0836,6.0906,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,None,None,SN II,SN II,SN II,None,SN II,SN II,SN II,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18abscghc,ZTF18abscghc,ZTF21ackjdav,ZTF21aamgvsy,ZTFabc18239,ZTF21aaqlwqb,ZTF20aconebc,ZTF21abalkop,ZTF20acpkvvy,ZTF21abmqpmh,ZTF20acnexgl,ZTFabc92698,0,6.6803,6.8801,6.9716,7.0167,7.2348,7.2656,7.3679,7.4226,7.4479,7.6531,No_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Fake,None,None,None,SN Ia,None,None,None,None,None,None,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acurome,ZTF20acurome,ZTFabc83247,ZTFabc84412,ZTFabc58654,ZTFabc36478,ZTFabc02735,ZTFabc64698,ZTFabc97586,ZTFabc47017,ZTFabc93512,ZTFabc19915,0,6.8116,6.8544,6.8812,6.8997,6.9349,6.9892,7.0474,7.087,7.0959,7.133,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aazycgs,ZTF21aazycgs,ZTF21aazebgh,ZTFabc58076,ZTFabc43205,ZTF19aacislx,ZTFabc35321,ZTF21ablxcos,ZTF21abgkcqn,ZTF21aapfmut,ZTF21abpsann,ZTF21aaepasp,0,5.1339,5.21,5.2845,5.7777,6.0006,6.0398,6.0895,6.1166,6.1379,6.2037,Yes_TNS,Yes_TNS,Fake,Fake,No_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,SN Ia,SN Ia,SN Ia,None,SN Ia,None,None,None,None,None,-99.0,0.076,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acggqfs,ZTF20acggqfs,ZTFabc14731,ZTF20acucbek,ZTFabc04287,ZTFabc63041,ZTFabc73317,ZTFabc79980,ZTFabc34945,ZTFabc02574,ZTFabc48950,ZTFabc78768,0,11.2691,11.681,11.8006,11.8044,11.8052,11.8067,11.8115,11.8132,11.8137,11.8145,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN IIn,SN Ia,SN Ia,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,0.008463,-99.0,0.03889,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aagsfzc,ZTF21aagsfzc,ZTF21aarhnil,ZTF21aaqyenr,ZTF21aaqgcof,ZTF21aahhmev,ZTF21aapwakp,ZTF21aadawov,ZTF21aahbatg,ZTF21aasbruy,ZTF19aaapfde,ZTF20aczaldj,0,6.4656,7.1637,7.3597,7.4919,7.4978,7.5109,7.5174,7.5176,7.548,7.6452,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,None,None,None,None,None,None,None,None,None,None,0.075,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abfaqwp,ZTF21abfaqwp,ZTF21aarzqri,ZTF21abbohfy,ZTF20aciuftf,ZTF19aaaamwp,ZTF21aafldgt,ZTF21aaolmeo,ZTF21aarzrst,ZTF21aaxxetp,ZTF21aajswnl,ZTF21aavgrxa,0,6.3842,6.9215,8.2662,8.302,8.6392,8.7737,8.8143,9.0164,9.027,9.0434,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,No_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,SN Ia,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,0.13,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aacugzd,ZTF21aacugzd,ZTF21aahczlb,ZTFabc77013,ZTFabc31940,ZTF21aagxmcs,ZTFabc53061,ZTFabc38850,ZTFabc34461,ZTFabc15988,ZTFabc95358,ZTFabc72702,0,5.1115,5.3482,5.5448,5.5941,5.6193,5.8351,5.8536,5.8946,5.9611,6.1143,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,0.085,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaffxdt,ZTF21aaffxdt,ZTF21abpvxke,ZTF18aawpuhh,ZTF21abvyheu,ZTF21aaaszmm,ZTF21aabcyaf,ZTF21aaityjv,ZTF21aaapfal,ZTFabc42177,ZTF21aarguvb,ZTFabc22640,0,7.6404,8.3947,8.902,8.9778,9.2525,9.5035,9.8408,9.8542,9.893,9.974,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,SN IIn,None,None,None,None,None,None,None,SN Ia,SN Ia,SN Ia-91T-like,0.09,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.055,-99.0
ZTF21aapkeql,ZTF21aapkeql,ZTFabc06704,ZTF21aamttit,ZTF20acoaqpm,ZTF20aamibse,ZTF21aayfiim,ZTFabc69523,ZTF18aajawol,ZTFabc11249,ZTFabc71065,ZTF20acwomxy,0,6.0799,6.13,6.1756,6.3573,6.3706,6.4618,6.7208,6.7661,6.806,7.0646,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,None,SN Ia,SN Ia,SN Ia,None,None,SN Ia,None,SN Ia,SN Ia,None,-99.0,-99.0,0.040571,0.08,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18abdhozj,ZTF18abdhozj,ZTFabc03644,ZTF20absvtnc,ZTFabc58833,ZTFabc75013,ZTFabc13959,ZTFabc58770,ZTFabc43689,ZTFabc84295,ZTFabc54535,ZTFabc38590,0,14.3506,14.5209,14.7606,14.7958,14.8027,14.8028,14.8028,14.8052,14.8053,14.8084,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia,SN Ia,SN Ia,SN Ia,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,-99.0,-99.0,0.035,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aartehc,ZTF21aartehc,ZTFabc42686,ZTFabc90337,ZTF21aaqjmnn,ZTFabc35409,ZTFabc53627,ZTFabc82414,ZTF18aalpkwb,ZTFabc09106,ZTFabc76189,ZTFabc53061,0,6.6355,6.6955,6.77,6.8962,6.9033,6.9577,6.976,6.9823,6.9824,6.9987,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,SN Ia,SN Ia,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abmxkcq,ZTF21abmxkcq,ZTF20acxaqar,ZTF21aagyuwh,ZTFabc64973,ZTFabc28873,ZTF21aakigqr,ZTFabc71708,ZTFabc40485,ZTF21aaaybkj,ZTF18acajzib,ZTFabc49733,0,8.157,8.348,9.2963,9.3681,9.3951,9.4771,9.4965,9.545,9.746,9.8381,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,SN IIb,None,None,SN II,SN II,SN II,SN II,SN II,None,None,SN Ia,0.041487,-99.0,-99.0,-99.0,-99.0,0.066866,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abkaoxe,ZTF21abkaoxe,ZTFabc23505,ZTF18aabeszt,ZTFabc37648,ZTFabc39984,ZTFabc01696,ZTFabc85936,ZTF21aabvqlo,ZTF21aaqkqwq,ZTF21aawlwoy,ZTFabc50127,0,5.911,6.1322,6.2693,6.2732,6.3757,6.4609,6.4738,6.4787,6.4994,6.5913,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,0.0543,-99.0,0.081,-99.0,-99.0,-99.0,-99.0,0.080178,-99.0,0.05032,-99.0
ZTF21aapvfhk,ZTF21aapvfhk,ZTF18adbcjlv,ZTF19aarzfoz,ZTF20acgynyw,ZTF20actvgsy,ZTF21aatlfdp,ZTFabc56890,ZTF21aawtaxi,ZTF20acgznau,ZTF21aagyclx,ZTFabc85659,0,4.1468,4.3287,5.6945,5.9618,6.022,6.0958,6.1208,6.3686,6.4722,6.5049,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,None,None,None,SN Ia,SN Ia,None,SN Ia,None,SN Ia,None,SN Ia,-99.0,-99.0,-99.0,0.07,0.10196,-99.0,-99.0,-99.0,0.07,-99.0,-99.0
ZTF19aaafgdr,ZTF19aaafgdr,ZTF21absnilo,ZTF19aaohxwd,ZTF21aaluqlg,ZTF21aaxwzjz,ZTF21aacuhay,ZTF21aarpmsh,ZTF21abprygm,ZTF18actxlzv,ZTF20aadcegc,ZTF21aaogkmw,0,6.055,6.4147,6.4598,6.9396,6.9766,7.1838,7.6739,7.7206,7.8717,7.9614,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abvdyoj,ZTF21abvdyoj,ZTFabc91404,ZTFabc42031,ZTFabc42647,ZTFabc62459,ZTFabc61281,ZTFabc64989,ZTFabc80137,ZTFabc53152,ZTFabc01441,ZTFabc00433,0,4.8422,4.8424,4.8426,4.8431,4.8436,4.8444,4.8452,4.8453,4.8461,4.8491,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ia-pec,SN Ia-pec,SN Ia-pec,SN Ia-pec,SN Ia-pec,SN Ia-pec,SN Ia-pec,SN Ia-pec,SN Ia-pec,SN Ia-pec,0.112,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abcxhvn,ZTF21abcxhvn,ZTF21abqjmfy,ZTF21aazeirl,ZTF18accjwbc,ZTF20actoatk,ZTF21aaekerb,ZTF21abqlhkt,ZTF18abwfhqb,ZTF21aagoqez,ZTF18acefgee,ZTF21abdfzzv,0,5.4884,7.3679,7.6413,7.6563,7.8655,7.9067,8.0402,8.1671,8.2397,8.2459,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaynorj,ZTF21aaynorj,ZTF21aayrkfv,ZTFabc18239,ZTFabc92698,ZTF21abcthap,ZTF21abfmuun,ZTF18adbdcof,ZTF18abwblyl,ZTF21aasjmcv,ZTF21abkapuy,ZTF20aconebc,0,6.9367,6.9463,7.0428,7.0496,7.1352,7.3629,7.4102,7.4851,7.7868,7.7957,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,No_TNS,None,None,SN Ia,SN Ia,None,SN Ia,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,0.06986,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18acchzlc,ZTF18acchzlc,ZTF21abxnrfx,ZTF19aaaefkt,ZTF21aaxuwvw,ZTF18acvgmpx,ZTF18acpegrg,ZTF21abqirla,ZTF21abjtopr,ZTFabc04302,ZTF20acjpwdk,ZTFabc71584,0,7.8202,7.9522,8.0767,8.4729,8.5569,8.5864,8.6761,8.7299,8.7532,8.8125,No_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,No_TNS,No_TNS,Yes_TNS,Fake,Yes_TNS,Fake,None,None,None,None,None,None,None,None,SN Ia,SN Ia,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.05,-99.0
ZTF21aahjzav,ZTF21aahjzav,ZTF19aapswkx,ZTF21aalklsu,ZTF21aasfvsq,ZTFabc05158,ZTF21aavgvcs,ZTF21aaekerb,ZTF21aacudxe,ZTF21aagmecm,ZTF21abcudam,ZTF21aakysyw,0,6.3891,7.3634,7.429,7.6873,7.8475,7.8681,7.9397,8.1361,8.186,8.2833,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,None,None,None,None,SN Ia,None,None,SN Ia,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.087,-99.0,-99.0,-99.0
ZTF20actoabw,ZTF20actoabw,ZTF21aawaguv,ZTF18abgmmso,ZTF21aagtrkn,ZTF18abwqgsc,ZTF21aaxtgei,ZTF21aavhwmz,ZTF21abmdnft,ZTFabc97269,ZTFabc49604,ZTFabc92561,0,5.696,6.4139,6.4405,7.0714,7.0731,7.2354,7.254,7.2637,7.2998,7.3121,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,None,None,None,None,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.065,-99.0,-99.0,-99.0
ZTF18aazwtfj,ZTF18aazwtfj,ZTF21aaobfjm,ZTF21abnfyal,ZTF21aagyclx,ZTF18actxlzv,ZTF18aczergr,ZTF19aaohxwd,ZTF19aaafldf,ZTF19aaaibty,ZTF21aapllew,ZTF18abmofew,0,5.1988,7.1821,7.6002,7.7281,8.183,8.1979,8.4097,8.4642,8.6808,8.749,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acqcxmx,ZTF20acqcxmx,ZTF21aaazjbv,ZTF20acuyxki,ZTFabc91757,ZTFabc26191,ZTFabc35513,ZTFabc07019,ZTFabc27623,ZTFabc58546,ZTFabc16253,ZTFabc75466,0,6.238,6.7159,6.878,6.9183,6.9465,6.9501,6.965,6.9655,6.9704,6.9758,Yes_TNS,Yes_TNS,No_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,SN Ia,TDE,TDE,TDE,TDE,TDE,TDE,TDE,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aagnwkk,ZTF21aagnwkk,ZTF21abdhbrh,ZTF21aagoihc,ZTF21abvdrrg,ZTF21aagmhzg,ZTF21abvuuea,ZTF21aaxtfri,ZTF19aaadwfd,ZTFabc97970,ZTF21aajsxcy,ZTF21abwdasa,0,6.658,6.935,7.0096,7.135,7.2084,7.3665,7.4366,7.5075,7.6451,7.6526,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,SN Ia,None,None,None,None,None,None,None,SN II,None,None,0.113,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18aawpqgd,ZTF18aawpqgd,ZTF21aapllew,ZTF21aatvcwp,ZTF21aazoger,ZTF20acuzoei,ZTF21aasgqwv,ZTF21aantxma,ZTF21abdthxn,ZTFabc60937,ZTF20acjutba,ZTFabc76407,0,5.769,6.1484,6.3624,6.7135,6.7481,6.7537,6.9266,6.9334,6.9402,6.9786,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,None,None,None,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.07023,0.099,-99.0,0.09,-99.0
ZTF21aagyhax,ZTF21aagyhax,ZTFabc77013,ZTFabc95097,ZTFabc49392,ZTF21aagyvtq,ZTFabc11766,ZTFabc84658,ZTFabc14640,ZTF21aagxmcs,ZTFabc04988,ZTFabc47105,0,5.0327,5.3061,5.4551,5.4831,5.4976,5.5506,5.5736,5.6856,5.6962,5.8323,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.077564,-99.0,-99.0,-99.0,0.105047,-99.0,-99.0,-99.0,0.085,-99.0,-99.0
ZTF20acuobqz,ZTF20acuobqz,ZTF21abqpzek,ZTF21aaxtpty,ZTF21aahclyf,ZTFabc08738,ZTFabc08517,ZTFabc35243,ZTFabc04784,ZTFabc00645,ZTFabc62586,ZTF21acbhfqb,0,5.7384,6.7544,6.8129,6.8425,6.8776,7.1403,7.1489,7.1978,7.23,7.2964,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,None,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acoyvdg,ZTF20acoyvdg,ZTF21aasgqwv,ZTF21aanzmoi,ZTF20acjutba,ZTFabc27644,ZTF20acjufda,ZTF21aacujkj,ZTFabc83572,ZTF20acqxgjn,ZTF21aafkwlu,ZTF21aauakph,0,5.0333,5.1074,5.3202,5.4797,5.4966,5.5027,5.5144,5.554,5.7501,5.7726,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,None,None,SN Ia,SN II,None,None,SN II,None,None,None,0.09,-99.0,-99.0,0.09,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18aasxqmn,ZTF18aasxqmn,ZTF21aawstzk,ZTF18aczdpan,ZTF20actslnz,ZTF21abjwlri,ZTF21abcpbjj,ZTF21ablxcos,ZTF21aatvcwp,ZTF21aagmrym,ZTF21aaaovua,ZTFabc43653,0,5.7332,7.0087,7.0383,7.2096,7.361,7.4083,7.4376,7.452,7.5197,7.6761,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,None,None,None,None,None,None,None,None,None,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.097,-99.0
ZTF18adcbkiq,ZTF18adcbkiq,ZTF21abjsygc,ZTF21abctgpz,ZTF19aaaalkb,ZTF20acejcco,ZTF21aagmecm,ZTF21aaolmeo,ZTF21abwbuxf,ZTF21aartdkg,ZTF21aahpdum,ZTF21abvanyr,0,6.7778,6.8115,6.8414,7.0217,7.1708,7.2064,7.2643,7.3087,7.4243,7.452,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21acjjyvv,ZTF21acjjyvv,ZTF21aapkarm,ZTF21aaitzue,ZTF21aagyclm,ZTF20acpprmy,ZTFabc25750,ZTF21aarhnil,ZTF21aalepvi,ZTF20aclwvrl,ZTFabc97111,ZTF20acyxomd,0,4.3348,5.7799,5.8195,5.9802,6.0618,6.091,6.1313,6.1762,6.1948,6.2602,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,No_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,None,None,None,None,SN Ia,SN Ia,None,None,None,SN Ia,None,-99.0,-99.0,-99.0,-99.0,0.08,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
